alias,autor_normalizado,confianza,origen,score,n_filas_base,n_articulos_base
Antonio Zainos,Antonio Zainos,alta,nuevo_autor_normalizado_display,0.0,3,3
"Zainos, Antonio",Antonio Zainos,alta,nuevo_autor_normalizado,0.0,3,3
A. J. Diaz Urias,Anwar Jair Diaz Urias,alta,revision_manual_resuelta_web,,,
Anwar Jair Diaz Urias,Anwar Jair Diaz Urias,alta,nuevo_autor_normalizado_display,0.0,2,2
"Urias, Anwar Jair Diaz",Anwar Jair Diaz Urias,alta,nuevo_autor_normalizado,0.0,2,2
A. Romo-Cabrera,Araceli Romo Cabrera,media,expandido_por_variante_interna,0.0,4,4
Araceli Romo Cabrera,Araceli Romo Cabrera,alta,nuevo_autor_normalizado_display,0.0,3,3
"Romo-Cabrera, A.",Araceli Romo Cabrera,media,expandido_por_variante_interna,0.0,3,3
"Romo-Cabrera, Araceli",Araceli Romo Cabrera,alta,nuevo_autor_normalizado,0.0,3,3
Argelia Perez Pacheco,Argelia Perez Pacheco,alta,nuevo_autor_normalizado_display,0.0,2,2
"Perez-Pacheco, Argelia",Argelia Perez Pacheco,alta,nuevo_autor_normalizado,0.0,2,2
A. H. Bello-Guerrero,Ariel Bello Guerrero,alta,revision_manual_resuelta_web,,,
Ariel Bello Guerrero,Ariel Bello Guerrero,alta,revision_manual_resuelta_web,,,
Ariel H Bello Guerrero,Ariel Bello Guerrero,alta,revision_manual_resuelta_web,,,
"Bello-Guerrero, A.H.",Ariel Bello Guerrero,alta,revision_manual_resuelta_web,,,
"Bello-Guerrero, Ariel H.",Ariel Bello Guerrero,alta,revision_manual_resuelta_web,,,
A Castañeda,Armando Castañeda,alta,resuelto_con_fuente_externa_display,0.9,2,2
"Castañeda, A.",Armando Castañeda,alta,resuelto_con_fuente_externa,0.9,2,2
Armando Castaneda,Armando Castañeda Rojano,alta,tutora_doi_compartido_display,0.98,11,11
"Castaneda, Armando",Armando Castañeda Rojano,alta,tutora_doi_compartido,0.98,11,11
A. K. Sánchez-Mata,Armando Sánchez Mata,alta,revision_manual_resuelta_web,,,
Armando K Sánchez Mata,Armando Sánchez Mata,alta,revision_manual_resuelta_web,,,
